userName,score,at,content
Nur 2409,1,2022-01-17 15:57:52,"Aplikasinya rumit, ribet cara pesan makanan"
Aku Human,5,2022-01-17 15:54:45,"kurir ramah,amanahh,sabarrr sekali,lancar terus rezeki mas nya terima kasih banyakk sekali👍👍"
Aldy Syahida,5,2022-01-17 15:44:04,tingkatkan
Putra Dapatalu,5,2022-01-17 15:36:11,good engko
Yuditha Ay,5,2022-01-17 15:25:32,"sehat selalu untuk bapaknya, terimakasih sudah mau bantu saya di saat saya lapar tengah malam gini :)"
Agus Awan,5,2022-01-17 15:17:55,sopan
Roy Friendy,5,2022-01-17 15:12:56,ramah
Johana Saputri,5,2022-01-17 15:10:19,sangatlah baikkkkk
Andri Amanto,5,2022-01-17 14:40:51,Drivel good job
Nois30 7097,1,2022-01-17 14:26:22,Order sudah batal malah aplikasinya masih jalan bikin masalah aja penumpang sama driver
ENVY,5,2022-01-17 14:25:41,"Heran harga bisa langsung naik, saat di pesan 8k pas udah sampe 12 ribu"
Edi Maulana,5,2022-01-17 14:18:32,baik
Rudiansyah,5,2022-01-17 14:15:28,orang nya ramah dan sabar
Muhmammad maulidin,5,2022-01-17 14:12:49,..m
Ani Lestari,5,2022-01-17 14:10:36,ok
bonapasogit channel,5,2022-01-17 14:10:07,mantap cepat
albi albi,5,2022-01-17 13:56:33,ok
Jimmy Anggara Sukma,5,2022-01-17 13:51:29,ibu nya baik
helsy family,5,2022-01-17 13:36:31,baik..
nicko bismillah,5,2022-01-17 13:32:51,bgus
GOKIL Tok,5,2022-01-17 13:19:19,terimakasih ya pak
Arif KangAc,5,2022-01-17 13:16:08,terimakasih pak
Ahmad Mizan,5,2022-01-17 13:14:47,mantap
Salsabila 13,5,2022-01-17 13:12:10,bagus sekali cepat
hadi wibowo,5,2022-01-17 13:07:46,driver sopan dan ramah
Nurhasan Nurhasan,5,2022-01-17 13:05:34,sangat memuas kan
Riani Mantini,5,2022-01-17 13:05:11,mas nya top..
Ghania Early,5,2022-01-17 13:02:23,mtp
Okti Nurhidayanti,3,2022-01-17 12:41:54,mencari alamat nya loading sih. tapi untuk harga oke 👌🤭
Heri Aldric,5,2022-01-17 12:39:19,terima kasih Abang yang baik dah bantu saya
Wiji wulanputri,5,2022-01-17 12:29:17,sangat ramah😁
Karell Al Fatih,5,2022-01-17 12:21:13,driver ramah.. lancar rejekinya ya Uda
Zainal Inal,5,2022-01-17 12:12:33,"sangat memuaskan, dan sangat ramah"
Rahman Jakarta,5,2022-01-17 11:58:59,drivernya ramah dan aman membawanya
Nella Karunia,5,2022-01-17 11:53:30,makasih ya bg
Yesi Gita,5,2022-01-17 11:48:36,bagus nyaman
saiful alam,4,2022-01-17 11:47:01,good
Bintang Akbar Saputra,5,2022-01-17 11:44:40,Driver nya ok
Idwin Alya Putra,5,2022-01-17 11:40:33,mantap
Yogi Gunasetiawan,5,2022-01-17 11:38:43,mantab
Toraw Kids,1,2022-01-17 11:38:28,"Bye"" Maxim, driver nya cari yang bener"" mau kerja aja...."
muhajirah jabir,5,2022-01-17 11:38:18,"Keren, cepat dan ramah"
